,title,artistName,yearAsString,genre,image,brightness,blockCount,colorCount,pink,brown,yellow,blue,gray,purple,black,orange,green,white,red,mean_b_gradients_horiz,mean_g_gradients_horiz,mean_r_gradients_horiz,mean_b_gradients_vert,mean_g_gradients_vert,mean_r_gradients_vert,label
0,Variation,von Jawlensky Alexej,1916.0,abstract,https://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-1916.jpg,42.471233056981184,8.0,4.0,0.0,48.09060402684564,0.1610738255033557,0.0,27.40939597315436,0.0,0.05704697986577181,8.258389261744965,0.0,12.936241610738255,3.0872483221476514,0.009254199001712392,0.00642148277875073,0.0051484717740473505,0.00815247328412471,0.003844589848804111,0.004240076028949485,0
1,Variation: Field of Tulips,von Jawlensky Alexej,1916.0,abstract,https://uploads4.wikiart.org/images/alexej-von-jawlensky/variation-field-of-tulips-1916.jpg,34.26589940323955,6.0,2.0,0.0,49.36594202898551,0.0,0.0,46.20652173913044,0.0,0.025362318840579712,0.018115942028985508,0.0,4.384057971014492,0.0,0.004101690980149363,0.004101722723543888,0.001129855456422644,0.006916722659183431,0.003304403216816625,0.0013502779984114375,16
2,Variation: Tr?umerei,von Jawlensky Alexej,1916.0,abstract,https://uploads7.wikiart.org/images/alexej-von-jawlensky/variation-tr-umerei-1916.jpg,47.65175998110088,5.0,2.0,0.0,7.7620481927710845,0.0,0.0,92.18373493975905,0.0,0.0,0.0,0.0,0.05421686746987952,0.0,0.00632237455077865,0.0063141545110750935,0.002248623976372668,0.007160710666756737,0.006288875906388536,0.0,14
3,Variation: Glorreicher Abend - Sommersegen II,von Jawlensky Alexej,1917.0,abstract,https://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-glorreicher-abend-sommersegen-ii-1917.jpg,39.227256200493436,2.0,2.0,0.0,45.42384105960265,1.4569536423841059,0.0,50.9205298013245,0.0,0.0,1.7417218543046356,0.0,0.456953642384106,0.0,0.0033567948023822416,0.0009824969979258396,0.006351626016260162,0.007437383790878269,0.007313416462500456,0.003068941580504914,6
4,Variation: Z?rtlichkeiten,von Jawlensky Alexej,1917.0,abstract,https://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-z-rtlichkeiten-1917.jpg,34.815259437108175,5.0,2.0,0.0,54.04421768707482,0.0,0.0,44.05442176870749,0.0,0.1326530612244898,1.7653061224489797,0.0,0.0,0.003401360544217687,0.002265999049742334,0.004381960927515063,0.008827147095000362,0.006578947368421052,0.008825575859669681,0.0047582724928262685,16
5,Autumn Sound,von Jawlensky Alexej,1918.0,abstract,https://uploads0.wikiart.org/images/alexej-von-jawlensky/autumn-sound-1918.jpg,50.45452033162258,10.0,2.0,0.0,25.439597315436238,0.006711409395973153,0.0,66.54362416107382,0.0,0.0,4.654362416107381,0.0,3.355704697986577,0.0,0.0021262793714862333,0.005782853838369235,0.009053378720938657,0.0016524070062057064,0.006616152282387729,0.003913605316595902,8
6,Variation,von Jawlensky Alexej,1918.0,abstract,https://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-1918.jpg,41.68680690819374,5.0,4.0,0.0,40.33112582781457,0.0695364238410596,0.0,46.17880794701986,0.0,5.413907284768213,7.155629139072848,0.0,0.8443708609271523,0.006622516556291391,0.00828186412128018,0.0052379947971595295,0.005944471641373523,0.007042001787310098,0.0055236728837876605,0.008174775996858601,7
7,Variation: Sonnenaufgang,von Jawlensky Alexej,1918.0,abstract,https://uploads2.wikiart.org/images/alexej-von-jawlensky/variation-sonnenaufgang-1918.jpg,47.17251031991744,6.0,2.0,0.0,24.398026315789476,0.0,0.0,74.85526315789474,0.0,0.01973684210526316,0.01973684210526316,0.0,0.7072368421052632,0.0,0.0031041156922177997,0.0017202884228249332,0.0068125815335555884,0.00796827378548085,0.00675451223563282,0.005354215989801493,8
8,Meditation,von Jawlensky Alexej,1936.0,abstract,https://uploads7.wikiart.org/images/alexej-von-jawlensky/meditation-1936.jpg,20.55487649605297,7.0,1.0,0.0,95.30194805194805,0.0,0.0,3.0324675324675323,0.0,0.0974025974025974,0.0,0.0,1.568181818181818,0.0,0.001919117903625388,0.004544660024471246,0.005957122571260347,0.0010940146809712027,0.0033096260826702343,0.0020690138869406648,4
9,Quadrado Convexo,Mavignier Almir,1956.0,abstract,https://uploads8.wikiart.org/images/almir-mavignier/quadrado-convexo-1956.jpg,29.13758005714849,6.0,1.0,0.0,2.484924623115578,0.0,0.0,0.7663316582914573,0.0,0.0,2.8467336683417086,0.0,0.0,93.90201005025128,0.0018470631695603988,0.002290788766650641,0.006171435071952676,0.005870961792641318,8.467400508044031e-05,0.0013083048919226394,10
10,Untitled,Mavignier Almir,1962.0,abstract,https://uploads0.wikiart.org/images/almir-mavignier/untitled-1962.jpg,54.3458954248366,5.0,3.0,0.0,45.49666666666667,0.0,0.0,9.363333333333333,0.0,0.0,0.0,0.0,45.14,0.0,0.009589947089947091,0.001564614343707713,0.006577551453426692,0.006778129236330773,0.0040097923349653895,0.003930352463866115,15
11,Ohne Titel (Gleiche Dreiecke),Mavignier Almir,1967.0,abstract,https://uploads1.wikiart.org/images/almir-mavignier/ohne-titel-gleiche-dreiecke-1967.jpg,26.147441176470586,8.0,2.0,0.0,79.6325,0.3425,0.0,16.5025,0.0,0.01,0.4975000000000001,0.0,3.015,0.0,0.0022262754144090984,0.002487296068467505,0.005983065787013542,0.0026189203634420103,0.0010143341430211142,0.001971335713144014,17
12,Two Squares,Mavignier Almir,1967.0,abstract,https://uploads3.wikiart.org/images/almir-mavignier/two-squares-1967.jpg,14.822593358951623,6.0,2.0,0.0,45.38190954773869,2.030150753768844,0.0,4.937185929648241,0.0,43.31658291457286,1.0251256281407035,0.0,3.309045226130653,0.0,0.005746110325318246,0.005141462013499928,0.001003382833553122,0.005423507794440164,0.004797609813553966,0.0047926531783613145,11
13,Untitled,Mavignier Almir,1967.0,abstract,https://uploads0.wikiart.org/images/almir-mavignier/untitled-1967.jpg,23.309910320717435,36.0,4.0,0.0,18.267441860465123,0.0,0.0,14.062015503875966,0.0,56.75581395348838,0.0,0.0,10.914728682170544,0.0,0.007616974972796519,0.007920557985577491,0.004989012294351725,0.007326683905922915,0.006596794081381011,0.012557218854385748,11
14,Cinetic Composition,Mavignier Almir,1968.0,abstract,https://uploads2.wikiart.org/images/almir-mavignier/cinetic-composition-1968.jpg,29.5471558920598,4.0,5.0,0.0,48.757425742574256,2.089108910891089,0.0,18.995049504950494,0.0,18.2970297029703,5.7772277227722775,0.0,6.084158415841584,0.0,0.003219198127011999,0.00982059581938882,0.007082476582133881,0.005066977285963891,0.009947241151901516,0.002682495291364648,16
