title,artistName,yearAsString,genre,image,brightness,blockCount,colorCount,pink,brown,yellow,blue,gray,purple,black,orange,green,white,red,mean_b_gradients_horiz,mean_g_gradients_horiz,mean_r_gradients_horiz,mean_b_gradients_vert,mean_g_gradients_vert,mean_r_gradients_vert
Variation,von Jawlensky Alexej,1916,abstract,https://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-1916.jpg!Large.jpg,42.471233056981184,8,4,0.0,48.09060402684564,0.1610738255033557,0.0,27.40939597315436,0.0,0.057046979865771806,8.258389261744966,0.0,12.936241610738255,3.087248322147651,0.009254199001712392,0.00642148277875073,0.005148471774047351,0.00815247328412471,0.0038445898488041106,0.004240076028949485
Variation: Field of Tulips,von Jawlensky Alexej,1916,abstract,https://uploads4.wikiart.org/images/alexej-von-jawlensky/variation-field-of-tulips-1916.jpg!Large.jpg,34.26589940323955,6,2,0.0,49.36594202898551,0.0,0.0,46.20652173913044,0.0,0.025362318840579712,0.018115942028985508,0.0,4.384057971014492,0.0,0.004101690980149363,0.004101722723543888,0.001129855456422644,0.006916722659183431,0.0033044032168166254,0.0013502779984114377
Variation: Träumerei,von Jawlensky Alexej,1916,abstract,https://uploads7.wikiart.org/images/alexej-von-jawlensky/variation-tr-umerei-1916.jpg!Large.jpg,47.651759981100874,5,2,0.0,7.7620481927710845,0.0,0.0,92.18373493975903,0.0,0.0,0.0,0.0,0.05421686746987952,0.0,0.0063223745507786505,0.006314154511075094,0.0022486239763726676,0.007160710666756738,0.006288875906388536,0.0
Variation: Glorreicher Abend - Sommersegen II,von Jawlensky Alexej,1917,abstract,https://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-glorreicher-abend-sommersegen-ii-1917.jpg!Large.jpg,39.22725620049344,2,2,0.0,45.42384105960265,1.456953642384106,0.0,50.9205298013245,0.0,0.0,1.7417218543046356,0.0,0.45695364238410596,0.0,0.0033567948023822416,0.0009824969979258396,0.0063516260162601625,0.007437383790878268,0.007313416462500457,0.003068941580504914
Variation: Zärtlichkeiten,von Jawlensky Alexej,1917,abstract,https://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-z-rtlichkeiten-1917.jpg!Large.jpg,34.815259437108175,5,2,0.0,54.04421768707483,0.0,0.0,44.054421768707485,0.0,0.1326530612244898,1.7653061224489797,0.0,0.0,0.003401360544217687,0.002265999049742334,0.004381960927515063,0.008827147095000362,0.006578947368421052,0.008825575859669681,0.0047582724928262685
Autumn Sound,von Jawlensky Alexej,1918,abstract,https://uploads0.wikiart.org/images/alexej-von-jawlensky/autumn-sound-1918.jpg!Large.jpg,50.454520331622575,10,2,0.0,25.43959731543624,0.006711409395973153,0.0,66.54362416107382,0.0,0.0,4.654362416107382,0.0,3.3557046979865772,0.0,0.0021262793714862333,0.005782853838369235,0.009053378720938655,0.0016524070062057064,0.006616152282387729,0.003913605316595902
Variation,von Jawlensky Alexej,1918,abstract,https://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-1918.jpg!Large.jpg,41.68680690819374,5,4,0.0,40.33112582781457,0.0695364238410596,0.0,46.17880794701987,0.0,5.413907284768213,7.155629139072847,0.0,0.8443708609271523,0.006622516556291391,0.00828186412128018,0.00523799479715953,0.005944471641373523,0.007042001787310098,0.005523672883787661,0.008174775996858601
Variation: Sonnenaufgang,von Jawlensky Alexej,1918,abstract,https://uploads2.wikiart.org/images/alexej-von-jawlensky/variation-sonnenaufgang-1918.jpg!Large.jpg,47.17251031991744,6,2,0.0,24.398026315789473,0.0,0.0,74.85526315789474,0.0,0.019736842105263157,0.019736842105263157,0.0,0.7072368421052632,0.0,0.0031041156922177993,0.0017202884228249332,0.006812581533555588,0.00796827378548085,0.00675451223563282,0.005354215989801493
Meditation,von Jawlensky Alexej,1936,abstract,https://uploads7.wikiart.org/images/alexej-von-jawlensky/meditation-1936.jpg!Large.jpg,20.55487649605297,7,1,0.0,95.30194805194805,0.0,0.0,3.0324675324675323,0.0,0.09740259740259741,0.0,0.0,1.5681818181818181,0.0,0.0019191179036253882,0.004544660024471246,0.005957122571260347,0.0010940146809712027,0.0033096260826702343,0.0020690138869406648
Quadrado Convexo,Mavignier Almir,1956,abstract,https://uploads8.wikiart.org/images/almir-mavignier/quadrado-convexo-1956.jpg,29.137580057148487,6,1,0.0,2.484924623115578,0.0,0.0,0.7663316582914573,0.0,0.0,2.8467336683417086,0.0,0.0,93.90201005025126,0.001847063169560399,0.0022907887666506407,0.006171435071952676,0.005870961792641318,8.467400508044031e-05,0.0013083048919226394
