title,artistName,yearAsString,genre,image,vector
Variation,von Jawlensky Alexej,1916,abstract,https://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-1916.jpg!Large.jpg,"[5.869955156950673, 0.02242152466367713, 10.956651718983558, 24.294469357249625, 30.97608370702541, 15.590433482810164, 12.28998505231689, 6, 42.68752308098127]"
Variation: Field of Tulips,von Jawlensky Alexej,1916,abstract,https://uploads4.wikiart.org/images/alexej-von-jawlensky/variation-field-of-tulips-1916.jpg!Large.jpg,"[36.04669887278583, 2.2979066022544283, 1.6425120772946862, 1.2141706924315618, 42.0048309178744, 4.534621578099839, 12.25925925925926, 3, 34.266679296517324]"
Variation: Träumerei,von Jawlensky Alexej,1916,abstract,https://uploads7.wikiart.org/images/alexej-von-jawlensky/variation-tr-umerei-1916.jpg!Large.jpg,"[30.212365591397848, 12.387096774193548, 24.947580645161292, 8.274193548387098, 6.794354838709678, 1.836021505376344, 15.548387096774194, 6, 47.80329432848408]"
Variation: Glorreicher Abend - Sommersegen II,von Jawlensky Alexej,1917,abstract,https://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-glorreicher-abend-sommersegen-ii-1917.jpg!Large.jpg,"[12.122418879056047, 0.6032448377581121, 14.157817109144544, 14.657817109144542, 37.07079646017699, 5.31858407079646, 16.069321533923304, 6, 39.37171612007635]"
Variation: Zärtlichkeiten,von Jawlensky Alexej,1917,abstract,https://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-z-rtlichkeiten-1917.jpg!Large.jpg,"[8.180995475113122, 2.627450980392157, 6.806938159879336, 17.040723981900452, 29.29110105580694, 0.013574660633484163, 36.03921568627451, 5, 35.076278354479044]"
Autumn Sound,von Jawlensky Alexej,1918,abstract,https://uploads0.wikiart.org/images/alexej-von-jawlensky/autumn-sound-1918.jpg!Large.jpg,"[10.110612855007474, 0.8310911808669657, 35.67414050822123, 4.57847533632287, 11.382660687593422, 9.463378176382662, 27.959641255605383, 5, 50.56393211993318]"
Variation,von Jawlensky Alexej,1918,abstract,https://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-1918.jpg!Large.jpg,"[6.836283185840708, 3.0353982300884956, 16.986725663716815, 1.004424778761062, 29.21386430678466, 13.839233038348084, 29.084070796460175, 5, 41.87615246688646]"
Variation: Sonnenaufgang,von Jawlensky Alexej,1918,abstract,https://uploads2.wikiart.org/images/alexej-von-jawlensky/variation-sonnenaufgang-1918.jpg!Large.jpg,"[18.969298245614034, 2.1125730994152048, 14.804093567251462, 17.156432748538013, 20.057017543859647, 18.54385964912281, 8.35672514619883, 6, 47.216609333792]"
Meditation,von Jawlensky Alexej,1936,abstract,https://uploads7.wikiart.org/images/alexej-von-jawlensky/meditation-1936.jpg!Large.jpg,"[0.07183908045977011, 0.0014367816091954023, 0.8362068965517241, 0.021551724137931036, 78.49281609195403, 2.08764367816092, 18.48850574712644, 2, 20.758012170385395]"
Untitled,Souza-Cardoso Amadeo de,1914,abstract,https://uploads8.wikiart.org/images/amadeo-de-souza-cardoso/untitled-1914.jpg,"[6.642126789366053, 0.0736196319018405, 43.263803680981596, 16.1840490797546, 1.3026584867075663, 5.361963190184049, 27.171779141104295, 5, 52.637988692409486]"
Painting (Deployment-intersection),Souza-Cardoso Amadeo de,1914,abstract,https://uploads5.wikiart.org/images/amadeo-de-souza-cardoso/painting-deployment-intersection-1914.jpg,"[4.279365079365079, 2.3333333333333335, 30.407936507936505, 1.0015873015873016, 14.425396825396824, 23.523809523809526, 24.02857142857143, 4, 55.74543417366947]"
Painting,Souza-Cardoso Amadeo de,1914,abstract,https://uploads8.wikiart.org/images/amadeo-de-souza-cardoso/painting-1914.jpg!Large.jpg,"[0.0, 1.5969316596931662, 22.96652719665272, 0.0, 9.914923291492329, 5.199442119944212, 60.32217573221757, 4, 46.54615363579184]"
Interior expression of things,Souza-Cardoso Amadeo de,1915,abstract,https://uploads2.wikiart.org/images/amadeo-de-souza-cardoso/interior-expression-of-things-1915.jpg,"[4.665300546448088, 0.3592896174863388, 14.576502732240437, 0.5846994535519126, 31.385245901639347, 18.6051912568306, 29.82377049180328, 4, 42.98970320368585]"
The Rise of Green Square and the Woman's Violin 1916,Souza-Cardoso Amadeo de,,abstract,https://uploads2.wikiart.org/images/amadeo-de-souza-cardoso/the-rise-of-green-square-and-the-woman-s-violin-1916.jpg,"[7.801282051282052, 0.05982905982905983, 28.77136752136752, 0.9572649572649573, 39.794871794871796, 1.1517094017094018, 21.463675213675213, 4, 35.22423328305682]"
Composition cubiste,Herbin Auguste,1917,abstract,https://uploads1.wikiart.org/images/auguste-herbin/composition-cubiste-1917.jpg!Large.jpg,"[5.50087260034904, 0.17975567190226877, 27.015706806282726, 4.338568935427574, 6.1239092495637, 47.19546247818499, 9.645724258289704, 5, 69.25369743010643]"
Composition monumentale,Herbin Auguste,1919,abstract,https://uploads5.wikiart.org/images/auguste-herbin/composition-monumentale-1919.jpg!Large.jpg,"[9.100917431192661, 0.07492354740061162, 19.602446483180426, 5.033639143730887, 19.96788990825688, 12.172782874617736, 34.047400611620795, 6, 45.698818732385924]"
Composition,Herbin Auguste,1927,abstract,https://uploads2.wikiart.org/images/auguste-herbin/composition-1927.jpg!Large.jpg,"[4.937134502923977, 5.9298245614035086, 16.286549707602337, 5.478070175438597, 21.507309941520468, 9.881578947368421, 35.97953216374269, 6, 44.63632610939112]"
Composition,Herbin Auguste,1928,abstract,https://uploads2.wikiart.org/images/auguste-herbin/composition-1928.jpg!Large.jpg,"[5.507788161993769, 2.0218068535825546, 15.761682242990654, 3.686915887850467, 45.35358255451713, 13.632398753894082, 14.03582554517134, 5, 36.10468511392096]"
Abstraction,Herbin Auguste,1928,abstract,https://uploads2.wikiart.org/images/auguste-herbin/abstraction-1928.jpg!Large.jpg,"[4.395316804407713, 2.0261707988980717, 14.59090909090909, 1.0964187327823691, 38.001377410468315, 14.367768595041323, 25.522038567493112, 4, 37.66403608275266]"
Untitled,Herbin Auguste,1931,abstract,https://uploads8.wikiart.org/images/auguste-herbin/untitled-1931.jpg!Large.jpg,"[10.926406926406926, 1.2626262626262625, 10.536796536796537, 3.337662337662338, 36.81385281385282, 16.23953823953824, 20.883116883116884, 5, 40.94158956511898]"
Untitled,Herbin Auguste,1931,abstract,https://uploads1.wikiart.org/images/auguste-herbin/untitled-1931-1.jpg,"[5.043055555555555, 0.0, 20.23888888888889, 0.12083333333333333, 27.775, 24.843055555555555, 21.979166666666668, 5, 49.87069172113289]"
Untitled,Herbin Auguste,1931,abstract,https://uploads1.wikiart.org/images/auguste-herbin/untitled-1931-2.jpg!Large.jpg,"[9.860881542699724, 0.0013774104683195593, 7.87190082644628, 0.055096418732782364, 41.298898071625345, 27.99173553719008, 12.920110192837466, 5, 42.674688057040996]"
Untitled,Herbin Auguste,1931,abstract,https://uploads1.wikiart.org/images/auguste-herbin/untitled-1931-3.jpg!Large.jpg,"[0.9322709163346614, 0.014608233731739707, 28.091633466135455, 0.10225763612217796, 47.03452855245684, 12.735723771580346, 11.088977423638777, 4, 40.90441371767831]"
Combat Clair-Obscur,Herbin Auguste,1939,abstract,https://uploads1.wikiart.org/images/auguste-herbin/combat-clair-obscur-1939.jpg!Large.jpg,"[17.74054054054054, 7.136936936936937, 6.899099099099098, 15.084684684684685, 37.65945945945946, 3.9837837837837835, 11.495495495495495, 6, 33.41278925984808]"
Composition,Herbin Auguste,1940,abstract,https://uploads2.wikiart.org/images/auguste-herbin/composition-1940.jpg,"[6.104719764011799, 2.2168141592920354, 8.14749262536873, 5.870206489675516, 62.13864306784661, 2.1519174041297937, 13.370206489675516, 5, 29.534686795072012]"
Synchromy in Dark Blue,Herbin Auguste,1941,abstract,https://uploads4.wikiart.org/images/auguste-herbin/synchromy-in-dark-blue-1941.jpg,"[1.1383125864453665, 1.3623789764868603, 21.349930843706776, 0.05532503457814661, 47.432918395574, 4.1687413554633475, 24.492392807745507, 3, 34.30442871477775]"
"Composition sur le Mots, Poires, Pommes, Pêches",Herbin Auguste,1942,abstract,https://uploads8.wikiart.org/images/auguste-herbin/composition-sur-le-mots-poires-pommes-p-ches-1942.jpg,"[7.869415807560137, 0.001718213058419244, 26.487972508591067, 9.88831615120275, 29.240549828178697, 4.549828178694158, 21.962199312714777, 5, 42.009682635940976]"
Blanc,Herbin Auguste,1947,abstract,https://uploads5.wikiart.org/images/auguste-herbin/blanc-1947.jpg!Large.jpg,"[0.039308176100628936, 0.3443396226415094, 24.67452830188679, 0.0110062893081761, 36.22327044025157, 13.504716981132075, 25.202830188679243, 4, 41.05964360587002]"
Alphabet Plastique II,Herbin Auguste,1950,abstract,https://uploads3.wikiart.org/images/auguste-herbin/alphabet-plastique-ii-1950.jpg,"[21.38603988603989, 0.02421652421652422, 17.185185185185183, 2.6452991452991452, 16.06980056980057, 32.79202279202279, 9.897435897435898, 5, 62.973493100944076]"
Di Mache 1,Herbin Auguste,1950,abstract,https://uploads1.wikiart.org/images/auguste-herbin/di-mache-1-1950.jpg,"[0.0, 60.95257452574526, 9.455284552845528, 0.0, 0.0, 13.739837398373982, 15.85230352303523, 4, 53.25211222700462]"
Friday I,Herbin Auguste,1951,abstract,https://uploads8.wikiart.org/images/auguste-herbin/friday-i-1951.jpg,"[4.832599118942731, 0.04552129221732746, 15.367107195301028, 0.032305433186490456, 33.85168869309839, 26.961820851688696, 18.908957415565343, 4, 40.91414010538136]"
Storm,Herbin Auguste,1953,abstract,https://uploads5.wikiart.org/images/auguste-herbin/storm-1953.jpg,"[3.8699186991869916, 0.029268292682926828, 1.6878048780487807, 6.560975609756098, 38.00325203252032, 13.349593495934958, 36.49918699186992, 4, 36.57179021201976]"
Untitled,Herbin Auguste,1959,abstract,https://uploads8.wikiart.org/images/auguste-herbin/untitled-1959.jpg,"[21.963114754098363, 0.22404371584699456, 0.9193989071038251, 0.0505464480874317, 22.020491803278688, 19.885245901639344, 34.93715846994536, 4, 39.703273331190395]"
Nude,Herbin Auguste,1960,abstract,https://uploads4.wikiart.org/images/auguste-herbin/nude-1960.jpg!Large.jpg,"[23.835408022130014, 0.09266943291839558, 0.8063623789764869, 0.0013831258644536651, 34.396957123098204, 26.32365145228216, 14.543568464730292, 4, 37.14033032300057]"
Le Fin,Herbin Auguste,1960,abstract,https://uploads6.wikiart.org/images/auguste-herbin/le-fin-1960.jpg,"[0.33768115942028987, 0.08115942028985507, 0.763768115942029, 0.09420289855072464, 30.61594202898551, 67.58405797101449, 0.5231884057971015, 2, 66.04075021312873]"
Cause,Herbin Auguste,,abstract,https://uploads0.wikiart.org/images/auguste-herbin/cause.jpg,"[4.296943231441048, 13.177583697234352, 0.43668122270742354, 5.84570596797671, 34.23580786026201, 10.004366812227074, 32.00291120815139, 5, 33.87057111054029]"
"Chaos, Nr. 2",Klint Hilma at,1906,abstract,https://uploads1.wikiart.org/images/hilma-af-klint/chaos-nr-2-1906.jpg,"[8.93010752688172, 0.18951612903225806, 32.33064516129032, 2.0591397849462365, 26.190860215053764, 19.35483870967742, 10.94489247311828, 5, 49.47965949820789]"
They tens mainstay IV,Klint Hilma at,1907,abstract,https://uploads3.wikiart.org/images/hilma-af-klint/they-tens-mainstay-iv-1907.jpg!Large.jpg,"[0.41969696969696973, 1.4393939393939394, 25.063636363636366, 0.0, 9.275757575757575, 25.457575757575757, 38.343939393939394, 4, 58.690273321449794]"
The Ten Largest,Klint Hilma at,1907,abstract,https://uploads6.wikiart.org/images/hilma-af-klint/the-ten-largest-1907.jpg,"[46.780235988200594, 1.457227138643068, 13.452802359882005, 0.0029498525073746312, 1.4542772861356932, 31.352507374631266, 5.5, 4, 59.478680085603564]"
"De tio största, n° 2 Barnaaldern",Klint Hilma at,1907,abstract,https://uploads3.wikiart.org/images/hilma-af-klint/de-tio-st-rsta-n-2-barnaaldern-1907.jpg!Large.jpg,"[14.769345238095239, 1.8913690476190477, 31.212797619047617, 0.09077380952380952, 18.386904761904763, 6.200892857142857, 27.447916666666668, 5, 44.57519841269841]"
"De Tio Största, n°10 Alderdomen",Klint Hilma at,1907,abstract,https://uploads3.wikiart.org/images/hilma-af-klint/de-tio-st-rsta-n-10-alderdomen-1907.jpg,"[2.654919236417034, 0.487518355359765, 24.503671071953008, 0.03524229074889868, 3.0205580029368577, 56.32745961820852, 12.970631424375917, 3, 65.59271544153637]"
The Swan (No. 17),Klint Hilma at,1915,"abstract, symbolic painting",https://uploads7.wikiart.org/00140/images/hilma-af-klint/hilma-af-klint-svanen.jpg!Large.jpg,"[6.113333333333333, 0.0022222222222222222, 5.227777777777778, 0.014444444444444444, 5.062222222222222, 6.153333333333333, 77.42666666666666, 5, 40.31052723311547]"
"Altarpiece No. 1, Group X",Klint Hilma at,1915,abstract,https://uploads5.wikiart.org/images/hilma-af-klint/altar-painting-1915.jpg,"[7.973568281938325, 1.3142437591776799, 25.21732745961821, 2.3759177679882524, 42.986784140969164, 7.812041116005873, 12.320117474302496, 5, 34.588609599493246]"
